term,subject,course_name,course_number,crn,section,frequency,time,days,location,date_range,schedule_type,instructor,instructional_method,units,additional_information
202409,PHYS,Classical Mechanics I,321A,12740,PHYS 321A,Every Week,2:30 pm - 5:20 pm,M,Elliott Building 125,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,A schedule will be handed out at the first lab.
202409,PHYS,Classical Mechanics I,321A,12741,PHYS 321A,Every Week,4:30 pm - 7:20 pm,T,Elliott Building 125,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,A schedule will be handed out at the first lab.
202409,PHYS,Classical Mechanics I,321A,12742,PHYS 321A,Every Week,2:30 pm - 5:20 pm,W,Elliott Building 125,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,A schedule will be handed out at the first lab.
202409,PHYS,Classical Mechanics I,321A,12743,PHYS 321A,Every Week,2:30 pm - 5:20 pm,R,Elliott Building 125,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,A schedule will be handed out at the first lab.
202409,PHYS,Classical Mechanics I,321A,12744,PHYS 321A,Every Week,2:30 pm - 5:20 pm,F,Elliott Building 125,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,TA schedule will be handed out at the first lab.
202409,PHYS,Classical Mechanics I,321A,12745,PHYS 321A,Every Week,8:30 am - 9:20 am,F,Elliott Building 162,"Sep 04, 2024 - Dec 04, 2024",Tutorial,Alexander Antony  van Netten (P),Face-to-face,0.000,
202501,SLST,Slavic Cultural Studies,300,22869,SLST 300,Every Week,11:30 am - 12:20 pm,TWF,MacLaurin Building D016,"Jan 06, 2025 - Apr 04, 2025",Lecture,Megan A  Swift (P),Face-to-face,1.500,
202409,PHYS,Quantum Mechanics I,323,12746,PHYS 323,Every Week,10:00 am - 11:20 am,MR,Elliott Building 062,"Sep 04, 2024 - Dec 04, 2024",Lecture,Travis   Martin (P),Face-to-face,1.500,
202409,PHYS,Quantum Mechanics I,323,12747,PHYS 323,Every Week,2:30 pm - 5:20 pm,M,Elliott Building 125,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,A schedule will be handed out at the first lab.
202409,PHYS,Quantum Mechanics I,323,12748,PHYS 323,Every Week,4:30 pm - 7:20 pm,T,Elliott Building 125,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,A schedule will be handed out at the first lab.
202409,PHYS,Quantum Mechanics I,323,12749,PHYS 323,Every Week,2:30 pm - 5:20 pm,W,Elliott Building 125,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,A schedule will be handed out at the first lab.
202409,PHYS,Quantum Mechanics I,323,12750,PHYS 323,Every Week,2:30 pm - 5:20 pm,R,Elliott Building 125,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,A schedule will be handed out at the first lab.
202409,PHYS,Quantum Mechanics I,323,12751,PHYS 323,Every Week,2:30 pm - 5:20 pm,F,Elliott Building 125,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,A schedule will be handed out at the first lab.
202409,PHYS,Quantum Mechanics I,323,12753,PHYS 323,Every Week,8:30 am - 9:20 am,T,Cornett Building B111,"Sep 04, 2024 - Dec 04, 2024",Tutorial,Alexander Antony  van Netten (P),Face-to-face,0.000,
202409,PHYS,Electricity and Magnetism,326,12754,PHYS 326,Every Week,12:30 pm - 1:20 pm,TWF,Elliott Building 060,"Sep 04, 2024 - Dec 04, 2024",Lecture,Michel   Lefebvre (P),Face-to-face,1.500,
202409,PHYS,Electricity and Magnetism,326,12755,PHYS 326,Every Week,3:30 pm - 6:20 pm,W,Elliott Building 131,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,A schedule will be handed out at the first lab.
202409,PHYS,Electricity and Magnetism,326,12756,PHYS 326,Every Week,6:30 pm - 9:20 pm,M,Elliott Building 131,"Sep 04, 2024 - Dec 04, 2024",Lab,Alexander Antony  van Netten (P),Face-to-face,0.000,A schedule will be handed out at the first lab.
202409,PHYS,Electricity and Magnetism,326,12757,PHYS 326,Every Week,8:30 am - 9:20 am,W,Elliott Building 060,"Sep 04, 2024 - Dec 04, 2024",Tutorial,Alexander Antony  van Netten (P),Face-to-face,0.000,
202501,ER,Soil Conservation and Restoration,334,21443,ER 334,Every Week,6:00 pm - 7:20 pm,W,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,TBA,Online with some face-to-face,1.500,Permission of the department is required for registration in this section. Contact ecorestoration@uvic.ca. This course is offered synchronous online (Wednesdays 6:00-7:30pm) with 4 in-person days (March 3-6)
202409,ECON,Game Theory in Economics,450,11136,ECON 450,Every Week,2:30 pm - 3:50 pm,MR,Elliott Building 060,"Sep 04, 2024 - Dec 04, 2024",Lecture,Daniel   Rondeau (P),Face-to-face,1.500,Students must also register in lab ECON 450 B01.
202409,ECON,Game Theory in Economics,450,11137,ECON 450,Every Week,2:30 pm - 3:20 pm,F,Business & Economics Building 160,"Sep 04, 2024 - Dec 04, 2024",Lab,Daniel   Rondeau (P),Face-to-face,0.000,Students must also register in ECON 450 A01
202501,ER,Restoration of Marine Aquatic Systems,335B,23648,ER 335B,Every Week,8:30 am - 4:20 pm,MRFSU,TBA,"Mar 20, 2025 - Mar 24, 2025",Lecture,TBA,Face-to-face,1.500,"Permission of the department required for registration in this section. Contact ecorestoration@uvic.ca. Course includes preparatory work and project work after in-class dates. Important: Non-standard dates apply to this section. Refer to 'Non-standard course dates' on the Course add and drop dates page, to view the 100% fee reduction, 50% fee reduction and academic drop dates for this course."
202409,PHYS,Computational Modeling and Analysis,342,12758,PHYS 342,Every Week,8:30 am - 9:50 am,MR,Clearihue Building A216,"Sep 04, 2024 - Dec 04, 2024",Lecture,Dean   Karlen (P),Face-to-face,1.500,
202409,PHYS,Computational Modeling and Analysis,342,12759,PHYS 342,Every Week,2:30 pm - 3:50 pm,R,Clearihue Building A216,"Sep 04, 2024 - Dec 04, 2024",Lab,TBA,Face-to-face,0.000,
202409,ECON,Theory of Corporate Finance,454,11138,ECON 454,Every Week,10:30 am - 11:20 am,TWF,David Strong Building C118,"Sep 04, 2024 - Dec 04, 2024",Lecture,Pascal   Courty (P),Face-to-face,1.500,
202409,PHYS,Topics in Mathematical Physics I,410,12760,PHYS 410,Every Week,8:30 am - 9:50 am,MR,Clearihue Building A329,"Sep 04, 2024 - Dec 04, 2024",Lecture,Pavlo   Kovtun (P),Face-to-face,1.500,
202409,PHYS,Time Series Analysis,411,12761,PHYS 411,Every Week,9:30 am - 10:20 am,TWF,Elliott Building 161,"Sep 04, 2024 - Dec 04, 2024",Lecture,Johannes Richard  Gemmrich (P),Face-to-face,1.500,
202501,SLST,Modern Ukraine and Russian-Ukrainian Conflict,363,22870,SLST 363,Every Week,11:30 am - 12:50 pm,MR,Cornett Building B107,"Jan 06, 2025 - Apr 04, 2025",Lecture,Serguei   Ekeltchik (P),Face-to-face,1.500,This course is cross-listed with HSTR 353.
202409,PHYS,General Relativity and Cosmology,415,12762,PHYS 415,Every Week,1:00 pm - 2:20 pm,MR,Elliott Building 161,"Sep 04, 2024 - Dec 04, 2024",Lecture,Adam   Ritz (P),Face-to-face,1.500,
202501,ER,Environmental Restoration Project,390,21444,ER 390,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture Topic,Nancy Ann  Shackelford (P),Fully Online,1.500,Permission of the department is required for registration in this section. Course only available to RNS program students.
202501,ER,Environmental Restoration Project,390,21445,ER 390,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture Topic,Nancy Ann  Shackelford (P),Fully Online,3.000,Permission of the department is required for registration in this section. Course only available to RNS program students.
202409,ECON,Financial Econometrics,468,11139,ECON 468,Every Week,1:30 pm - 2:20 pm,TWF,MacLaurin Building D016,"Sep 04, 2024 - Dec 04, 2024",Lecture,Kenneth G.  Stewart (P),Face-to-face,1.500,
202501,ER,Seminar in Environmental Restoration,400,21446,ER 400,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,Nancy Ann  Shackelford (P),Fully Online,0.000,Permission of the department required for registration in this section. Course only available to RNS program students.
202409,ECON,Labour Economics II,471,11140,ECON 471,Every Week,11:30 am - 12:20 pm,TWF,Cornett Building B108,"Sep 04, 2024 - Dec 04, 2024",Lecture,Herbert J  Schuetze (P),Face-to-face,1.500,
202409,PHYS,Quantum Mechanics II,423,12763,PHYS 423,Every Week,11:30 am - 12:50 pm,MR,Elliott Building 161,"Sep 04, 2024 - Dec 04, 2024",Lecture,Adam   Ritz (P),Face-to-face,1.500,
202501,SLST,Advanced Russian Practice,401,22871,SLST 401,Every Week,12:30 pm - 1:20 pm,TWF,Clearihue Building A326,"Jan 06, 2025 - Apr 04, 2025",Lecture,Ioulia   Rochtchina (P),Face-to-face,1.500,
202501,ES,Ecological Processes,240,21460,ES 240,Every Week,11:30 am - 12:50 pm,MR,Human & Social Development A240,"Jan 06, 2025 - Apr 04, 2025",Lecture,Trevor Charles  Lantz (P),Face-to-face,1.500,
202501,ES,Introduction to Environmental Studies,200,21447,ES 200,Every Week,1:00 pm - 2:20 pm,MR,David Turpin Building A120,"Jan 06, 2025 - Apr 04, 2025",Lecture,James K  Rowe (P),Face-to-face,1.500,Must be registered in ES 200 BEFORE registering in one of the tutorials.  ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21448,ES 200,Every Week,8:30 am - 9:20 am,T,Clearihue Building A118,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21449,ES 200,Every Week,8:30 am - 9:20 am,W,Clearihue Building A118,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21450,ES 200,Every Week,8:30 am - 9:20 am,F,Clearihue Building A118,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21451,ES 200,Every Week,9:30 am - 10:20 am,T,Elliott Building 161,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21452,ES 200,Every Week,9:30 am - 10:20 am,W,Clearihue Building A118,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21453,ES 200,Every Week,9:30 am - 10:20 am,F,Clearihue Building A118,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21454,ES 200,Every Week,10:30 am - 11:20 am,T,Clearihue Building C111,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21455,ES 200,Every Week,10:30 am - 11:20 am,W,Clearihue Building A118,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21456,ES 200,Every Week,10:30 am - 11:20 am,F,Clearihue Building A118,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21457,ES 200,Every Week,11:30 am - 12:20 pm,T,Elliott Building 161,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21458,ES 200,Every Week,12:30 pm - 1:20 pm,T,Clearihue Building A118,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,ES,Introduction to Environmental Studies,200,21459,ES 200,Every Week,11:30 am - 12:20 pm,F,Clearihue Building A118,"Jan 06, 2025 - Apr 04, 2025",Tutorial,James K  Rowe (P),Face-to-face,0.000,Must be registered in ES 200 BEFORE registering in one of the tutorials. ES 200 tutorials start the third week of classes.
202501,SLST,Cold War on Film,450,22872,SLST 450,Every Week,4:30 pm - 7:20 pm,M,Engineering Comp Science Bldg 116,"Jan 06, 2025 - Apr 04, 2025",Lecture,Serguei   Ekeltchik (P),Face-to-face,1.500,
202409,PHYS,Honours Laboratory,429A,13673,PHYS 429A,Every Week,2:30 pm - 5:20 pm,M,Elliott Building 123,"Sep 04, 2024 - Dec 04, 2024",Gradable Lab,"Byoung-Chul   Choi (P), Andrew John  MacRae",Face-to-face,0.750,"This is the first half of a course that runs Sep-Apr. You must register in the same section in Second Term (Jan-Apr) to complete your registration. For example, register in PHIL100 A01 in First Term and PHIL100 A01 in Second Term."
202501,SLST,Stalinist Cinema,451,22873,SLST 451,Every Week,4:30 pm - 7:20 pm,R,Engineering Comp Science Bldg 124,"Jan 06, 2025 - Apr 04, 2025",Lecture,Olga   Pressitch (P),Face-to-face,1.500,
202501,ES,"Capitalism, Justice and Sustainability",302,21469,ES 302,Every Week,12:30 pm - 3:20 pm,F,Cornett Building B111,"Jan 06, 2025 - Apr 04, 2025",Lecture,Nicholas Michael  Montgomery (P),Face-to-face,1.500,
202501,ES,Environmental Economics,312,21470,ES 312,Every Week,10:00 am - 11:20 am,MR,David Turpin Building A102,"Jan 06, 2025 - Apr 04, 2025",Lecture,Colette   Salemi (P),Face-to-face,1.500,
202501,ES,Political Ecology,301,21461,ES 301,Every Week,10:00 am - 11:20 am,MR,Engineering Comp Science Bldg 104,"Jan 06, 2025 - Apr 04, 2025",Lecture,Caolan   Barr (P),Face-to-face,1.500,NOTE: Students registered in ES 301 A01 must also register in one of the tutorial sections T01-T03.
202501,ES,Political Ecology,301,21462,ES 301,Every Week,11:30 am - 12:50 pm,MR,Engineering Comp Science Bldg 108,"Jan 06, 2025 - Apr 04, 2025",Lecture,Julian   Evans (P),Face-to-face,1.500,NOTE: Students registered in ES 301 A02 must also register in one of the tutorial sections T04-T06.
202501,ES,Political Ecology,301,21463,ES 301,Every Week,9:30 am - 10:20 am,T,Clearihue Building A221,"Jan 06, 2025 - Apr 04, 2025",Tutorial,Caolan   Barr (P),Face-to-face,0.000,NOTE: Students registered in this tutorial must also be registered in Section A01 of ES 301.
202501,ES,Political Ecology,301,21464,ES 301,Every Week,9:30 am - 10:20 am,W,Clearihue Building D134,"Jan 06, 2025 - Apr 04, 2025",Tutorial,Caolan   Barr (P),Face-to-face,0.000,NOTE: Students registered in this tutorial must also be registered in Section A01 of ES 301.
202501,ES,Political Ecology,301,21465,ES 301,Every Week,10:30 am - 11:20 am,W,Clearihue Building D134,"Jan 06, 2025 - Apr 04, 2025",Tutorial,Caolan   Barr (P),Face-to-face,0.000,NOTE: Students registered in this tutorial must also be registered in Section A01 of ES 301.
202501,ES,Political Ecology,301,21466,ES 301,Every Week,9:30 am - 10:20 am,T,Clearihue Building D134,"Jan 06, 2025 - Apr 04, 2025",Tutorial,Julian   Evans (P),Face-to-face,0.000,NOTE: Students registered in this tutorial must also be registered in Section A02 of ES 301.
202501,ES,Political Ecology,301,21467,ES 301,Every Week,9:30 am - 10:20 am,W,Clearihue Building A325,"Jan 06, 2025 - Apr 04, 2025",Tutorial,Julian   Evans (P),Face-to-face,0.000,NOTE: Students registered in this tutorial must also be registered in Section A02 of ES 301.
202501,ES,Political Ecology,301,21468,ES 301,Every Week,10:30 am - 11:20 am,W,Clearihue Building A325,"Jan 06, 2025 - Apr 04, 2025",Tutorial,Julian   Evans (P),Face-to-face,0.000,NOTE: Students registered in this tutorial must also be registered in Section A02 of ES 301.
202409,ECON,Fourth-Year Honours Thesis and Seminar,499,13620,ECON 499,Every Week,1:00 pm - 2:20 pm,MR,Clearihue Building A326,"Sep 04, 2024 - Dec 04, 2024",Lecture,"Donna Leanne  Feir (P), Colette   Salemi",Face-to-face,1.500,"This is the first half of a course that runs Sep-Apr. You must register in the same section in Second Term (Jan-Apr) to complete your registration. For example, register in ECON 499 A01 in First Term and ECON 499 A01 in Second Term."
202501,SLST,Putin's Russia,461,22874,SLST 461,Every Week,12:30 pm - 1:20 pm,TWF,Clearihue Building C112,"Jan 06, 2025 - Apr 04, 2025",Lecture,David   Dolff (P),Face-to-face,1.500,This course is cross-listed with HSTR 352A.
202409,EDUC,Introduction to Education,100,11262,EDUC 100,Every Week,1:00 pm - 2:20 pm,MR,Elliott Building 062,"Sep 04, 2024 - Dec 04, 2024",Lecture,Leslee G  Francis Pelton (P),Face-to-face,1.500,
202501,ES,Conservation Biology,320,21471,ES 320,Every Week,8:30 am - 9:50 am,MR,Hickman Building 105,"Jan 06, 2025 - Apr 04, 2025",Lecture,TBA,Face-to-face,1.500,
202409,PHYS,Colloquium I,460A,12764,PHYS 460A,Every Week,3:30 pm - 4:50 pm,W,Bob Wright Centre A104,"Sep 04, 2024 - Dec 04, 2024",Lecture,TBA,Face-to-face,0.000,This course meets with PHYS 460B and PHYS 560.
202409,ED-D,Learning Strategies for University Success,101,11221,ED-D 101,Every Week,8:30 am - 9:50 am,M,TBA,"Sep 09, 2024 - Dec 04, 2024",Lecture,Mariel F. W.  Miller (P),Fully Online,1.500,This course will be offered fully online. Students must enroll in both the lecture A01 (1.5hrs) and a B section lab (1.5hrs) each week. Corequisites. Lecture starts in the first week of term. Labs start in the second week of term.
202409,ED-D,Learning Strategies for University Success,101,11223,ED-D 101,Every Week,8:30 am - 9:50 am,R,MacLaurin Building D211,"Sep 09, 2024 - Dec 04, 2024",Lab,TBA,Face-to-face,0.000,
202409,ED-D,Learning Strategies for University Success,101,11224,ED-D 101,Every Week,8:30 am - 9:50 am,R,TBA,"Sep 09, 2024 - Dec 04, 2024",Lab,TBA,Fully Online,0.000,
202409,ED-D,Learning Strategies for University Success,101,11225,ED-D 101,Every Week,10:00 am - 11:20 am,R,TBA,"Sep 09, 2024 - Dec 04, 2024",Lab,TBA,Fully Online,0.000,
202409,ED-D,Learning Strategies for University Success,101,11226,ED-D 101,Every Week,10:00 am - 11:20 am,R,MacLaurin Building D211,"Sep 09, 2024 - Dec 04, 2024",Lab,TBA,Face-to-face,0.000,
202409,ED-D,Learning Strategies for University Success,101,11227,ED-D 101,Every Week,11:30 am - 12:50 pm,R,MacLaurin Building D211,"Sep 09, 2024 - Dec 04, 2024",Lab,TBA,Face-to-face,0.000,
202409,ED-D,Learning Strategies for University Success,101,11228,ED-D 101,Every Week,11:30 am - 12:50 pm,R,TBA,"Sep 09, 2024 - Dec 04, 2024",Lab,TBA,Fully Online,0.000,
202501,ES,Ethnoecology,321,21472,ES 321,Every Week,11:30 am - 12:50 pm,MR,Elliott Building 162,"Jan 06, 2025 - Apr 04, 2025",Lecture,Darcy Lane  Mathews (P),Face-to-face,1.500,
202501,ES,Ethnoecology,321,21473,ES 321,Every Week,8:30 am - 9:50 am,MR,Elliott Building 162,"Jan 06, 2025 - Apr 04, 2025",Lecture,Christine   van der Stege (P),Face-to-face,1.500,
202501,SLST,Tolstoy and the Age of Anna Karenina,480,22875,SLST 480,Every Week,10:00 am - 11:20 am,MR,Elliott Building 162,"Jan 06, 2025 - Apr 04, 2025",Lecture,Olga   Pressitch (P),Face-to-face,1.500,
202501,ES,"Past, Present, and Future Ecologies",341,21474,ES 341,Every Week,10:00 am - 11:20 am,MR,Cornett Building A125,"Jan 06, 2025 - Apr 04, 2025",Lecture,Andrew Mark  Elves (P),Face-to-face,1.500,
202501,ES,"Past, Present, and Future Ecologies",341,21475,ES 341,Every Week,1:00 pm - 2:20 pm,MR,Engineering Comp Science Bldg 104,"Jan 06, 2025 - Apr 04, 2025",Lecture,Brian   Starzomski (P),Face-to-face,1.500,
202409,PHYS,Colloquium II,460B,12765,PHYS 460B,Every Week,3:30 pm - 4:50 pm,W,Bob Wright Centre A104,"Sep 04, 2024 - Dec 04, 2024",Lecture,TBA,Face-to-face,0.000,This course meets with PHYS 460A and PHYS 560.
202409,ED-D,Leadership Theory and Practice,203,11230,ED-D 203,Every Week,1:30 pm - 4:20 pm,W,David Turpin Building A102,"Sep 04, 2024 - Dec 04, 2024",Lecture,Tatiana V  Gounko (P),Face-to-face,1.500,
202409,PHYS,Honours Thesis,499,13674,PHYS 499,Every Week,2:30 pm - 5:20 pm,R,Elliott Building 123,"Sep 04, 2024 - Dec 04, 2024",Lecture,Geoffrey Mark  Steeves (P),Face-to-face,0.750,"This is the first half of a course that runs Sep-Apr. You must register in the same section in Second Term (Jan-Apr) to complete your registration. For example, register in PHIL100 A01 in First Term and PHIL100 A01 in Second Term."
202409,ED-D,Introduction to Indigenous Approaches to Helping and Healing,219,11231,ED-D 219,Every Week,1:30 pm - 4:20 pm,R,MacLaurin Building D115,"Sep 04, 2024 - Dec 04, 2024",Lecture,Dani   Pigeau (P),Face-to-face,1.500,
202501,SLST,Honours Thesis,499,22876,SLST 499,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,TBA,Face-to-face,1.500,
202501,ES,Biodiversity and Conservation Biology,348,23855,ES 348,Every Week,TBA,,TBA,"Jan 06, 2025 - Apr 04, 2025",Lecture,Diana   Bertuol Garcia (P),Fully Online,1.500,Permission of the department is required for registration.
202409,ED-D,Resilience and Coping to Overcome Adversity,277,11232,ED-D 277,Every Week,TBA,,TBA,"Sep 04, 2024 - Dec 04, 2024",Lecture,Breanna Catherine  Lawrence (P),Fully Online,1.500,Asynchronous
202501,ES,The Biodiversity of British Columbia,361,21476,ES 361,Every Week,8:30 am - 9:50 am,MR,Cornett Building A121,"Jan 06, 2025 - Apr 04, 2025",Lecture,Brian   Starzomski (P),Face-to-face,1.500,
202501,SJS,Introduction to the Practice of Social Justice,200,22865,SJS 200,Every Week,5:00 pm - 7:50 pm,M,Elliott Building 162,"Jan 06, 2025 - Apr 04, 2025",Lecture,Nabila   Kazmi (P),Face-to-face,1.500,
202409,POLI,The Worlds of Politics,103,12798,POLI 103,Every Week,10:30 am - 11:20 am,TWF,Elliott Building 167,"Sep 04, 2024 - Dec 04, 2024",Lecture,Michael J.  Carpenter (P),Face-to-face,1.500,
202409,POLI,The Worlds of Politics,103,12799,POLI 103,Every Week,1:30 pm - 2:20 pm,T,MacLaurin Building D109,"Sep 04, 2024 - Dec 04, 2024",Tutorial,TBA,Face-to-face,0.000,
202409,POLI,The Worlds of Politics,103,12800,POLI 103,Every Week,2:30 pm - 3:20 pm,T,David Strong Building C114,"Sep 04, 2024 - Dec 04, 2024",Tutorial,TBA,Face-to-face,0.000,
202409,POLI,The Worlds of Politics,103,12801,POLI 103,Every Week,1:30 pm - 2:20 pm,W,David Strong Building C114,"Sep 04, 2024 - Dec 04, 2024",Tutorial,TBA,Face-to-face,0.000,
202409,POLI,The Worlds of Politics,103,12803,POLI 103,Every Week,3:30 pm - 4:20 pm,W,Clearihue Building A325,"Sep 04, 2024 - Dec 04, 2024",Tutorial,TBA,Face-to-face,0.000,
202409,POLI,The Worlds of Politics,103,12804,POLI 103,Every Week,1:00 pm - 1:50 pm,R,Clearihue Building C316,"Sep 04, 2024 - Dec 04, 2024",Tutorial,TBA,Face-to-face,0.000,
202409,POLI,The Worlds of Politics,103,12805,POLI 103,Every Week,2:30 pm - 3:20 pm,R,Clearihue Building C316,"Sep 04, 2024 - Dec 04, 2024",Tutorial,TBA,Face-to-face,0.000,
202409,POLI,The Worlds of Politics,103,12806,POLI 103,Every Week,3:30 pm - 4:20 pm,R,Clearihue Building D134,"Sep 04, 2024 - Dec 04, 2024",Tutorial,TBA,Face-to-face,0.000,
202409,POLI,Canadian Politics,101,12787,POLI 101,Every Week,4:30 pm - 5:50 pm,TR,David Turpin Building A120,"Sep 04, 2024 - Dec 04, 2024",Lecture,Justin Blake  Leifso (P),Face-to-face,1.500,
202409,POLI,Canadian Politics,101,12788,POLI 101,Every Week,11:30 am - 12:20 pm,W,Clearihue Building A325,"Sep 04, 2024 - Dec 04, 2024",Tutorial,TBA,Face-to-face,0.000,
