PID,Course ID,Subject Code,Title,Description,Credits,Prerequisites,Corequisites,Recommendations,Notes
Ske023wam4,ADMN407,ADMN,Managing Service Delivery,"Explores challenges facing public sector managers who develop or transform public services with a strong focus on service recipients. Examines the drivers of service transformation, surveys the ways that public services can be reformed; and presents frameworks to assess service needs, engage service recipients and stakeholders, implement new delivery arrangements (including networks and partnerships), manage across boundaries, conduct performance measurement and ensure accountability.",1.5,Complete 1 of: ADMN311 - Introduction to Public Administration (1.5) POLI350 - Introduction to Public Administration (1.5),,,
HJkT3DpX4,ADMN409,ADMN,Non-profit Governance and Management,"An overview of management in Canada’s non‐profit and voluntary sector. Examines the size, scope, structure, functions, value bases and uniqueness of the non‐profit sector, plus the differences among the non‐profit, public and private sectors. Topics include board governance, leadership and board relations, stakeholder relations, strategic planning, volunteer recruitment and motivation, and client engagement. Students analyze how management concepts, models, principles and techniques have validity as applied in the context of non‐profit and voluntary sector organizations.",1.5,,,,
B1y6hvp7V,ADMN411,ADMN,Public Sector Project Management,"Provides an understanding of project management; differences between private, non-profit and public sector project management; and how the dynamics of change and leadership impact project success. Topics include: what project management is and is not; project leadership; risk management; project planning; scheduling and critical path; problem solving; project governance, accountability and transparency; project sponsor role; change management including assessing readiness for change; setting up change governance structures to sustain change; best practices; and project evaluation.",1.5,,,,"Credit will be granted for only one of ADMN 411, ADMN 470 (if taken in the same topic)."
r1bT3va7E,ADMN422,ADMN,Ethical Public Management,"An exploration of value and ethical dilemmas which confront public and quasi-public sector officials in the workplace. Focuses on process dilemmas related to political neutrality, confidentiality, privacy, fairness and accountability, as well as issues related to good, just and legitimate public policy. Students have an opportunity to develop their own moral reasoning skills and apply them in case studies.",1.5,,,,"Credit will be granted for only one of ADMN 422, ADMN 554."
r1elp2waX4,ADMN420,ADMN,The Public Policy Process,An introduction to the policy process in the public sector. Includes analysis of current theories of policy-making and examines case studies from Canadian contexts. Topics include: policy formation; the policy communication process; the structural aspects of policy execution; and the human dimensions of implementation and coordination of policies in public sector organizations.,1.5,Complete 1 of: ADMN311 - Introduction to Public Administration (1.5) POLI350 - Introduction to Public Administration (1.5),,ADMN 310 and/or ADMN 314 recommended prior to ADMN 420.,"Credit will be granted for only one of ADMN 420, ADMN 465."
S1x4p3DTX4,ADMN437,ADMN,Foundations for Program Evaluation,"Provides an overview of the concepts, models and issues in evaluation. Students will be introduced to the practice of program evaluation; determining which evaluation questions and approaches to use, developing an evaluation plan, planning collection of data, establishing reporting processes and considering ethical issues in evaluation. Students will be introduced to contemporary issues in the field such as environmental, social, political and cultural dynamics of an evaluation context.",1.5,,,"An advanced understanding of statistical methods is not required for this course, but knowledge of and ability to apply basic concepts in statistics and research methods is expected.","Credit will be granted for only one of ADMN 437, ADMN 537."
HJzTnwTXV,ADMN423,ADMN,Local Government and Governance,"Discusses local government legislative frameworks, functions, financing, leadership, policy development and public administration. Explores the nature of local governance and relationships between and within regions, special purpose bodies and Indigenous governments. Focuses on local government in British Columbia, but includes comparative examples.",1.5,,,,"Credit will be granted for only one of ADMN 423, ADMN 545."
rkVa2Dp74,ADMN431B,ADMN,Labour Relations Negotiations,"Examines successful negotiation skills, conflict management styles, goals and principles of positional and interest-based negotiation, the labour relations climate and bargaining in response to human resource issues such as equity and diversity, compensation, workplace safety and health and employee pensions. Topics include: negotiating compensation issues, discipline and grievance and developing a collective agreement. Coursework involves group participation in negotiating a workplace issue and participation in a labour-management simulation.",1.5,,,,"Credit will be granted for only one of ADMN 431B, ADMN 431."
HJ-a3w67N,ADMN421,ADMN,Financial Management,"Provides a foundation in public sector financial management, focused on the needs of government managers. Topics include: government financial statements and their analysis; public sector accounting standards and financial reporting; operational and capital budgeting; public sector financial management; cost management and control; accountability and performance measurement. Covers all levels of government in Canada: municipal; provincial and federal. Familiarity with the use of Microsoft Excel required.",1.5,,,,"Credit will be granted for only one of ADMN 421, ADMN 448."
Bk4phwT7E,ADMN431A,ADMN,Public Sector Human Resource Management,Examines various aspects of the human resource function within public sector organizations and compares current theory and practice in: human resource planning; job analysis and design; recruitment and selection; performance management; training; career planning; staff development; and occupational health and safety.,1.5,,,,"Credit will be granted for only one of ADMN 431A, ADMN 431, ADMN 447, ADMN 531."
Skr6hPpX4,ADMN445,ADMN,Urban and Regional Development,"Examines economic forces influencing settlement patterns, growth and other characteristics of towns, cities and regions. Provides a theoretical and historical basis for analyzing and predicting how urban areas evolve and how public policies may affect patterns of growth and change. Topics include: regional economics; economic development; growth policy; urban land use patterns; how land and housing markets function; how land use regulation affects these markets; urban environmental problems; urban transportation; and emerging spatial patterns.",1.5,,,,"Credit will be granted for only one of ADMN 445, ECON 312."
SkI63Dp7E,ADMN446,ADMN,Local Government Land Use Planning,"Provides an overview of land use planning principles and regulations to local government administrators and staff, focusing on small and mid-sized communities. Topics include: history; regulatory framework in BC; rural and small town planning, growth management and regional planning; neighbourhood, local area and community planning; zoning; mainstreet, strip and commercial planning; residential planning; permits and other regulatory mechanisms; public information and participation; and environmental and heritage planning.",1.5,,,,"Credit will be granted for only one of ADMN 446, ADMN 470 (if taken in the same topic)."
HkF6hDp7V,ADMN452,ADMN,Local Government Law,"Analysis of legislation and court decisions applicable to local governments in British Columbia, including the Community Charter. Designed to familiarize non-lawyers with local government law and legal issues which arise in relation to local government activities and how to read case law and legislation.",1.5,,,,
BJeYa3DpXE,ADMN462,ADMN,Intergovernmental Relations in Canada,"Examines relations between federal, provincial/territorial, municipal and Indigenous governments in Canada across a range of complex policy areas. Topics include managing intergovernmental disputes, the role of fiscal transfers and the changing nature of our federation. Individual and/or team projects explore the state of our social, economic and environmental union.",1.5,,,,"Credit will be granted for only one of ADMN 462, ADMN 470 (if taken in the same topic), ADMN 547, POLI 462, POLI 490 (if taken in the same topic). A combined undergraduate and graduate course."
H1Wqa2DTQV,ADMN470,ADMN,Contemporary Topics in Administration,A study of selected topics drawn from the current literature and practices in public administration or related fields.,"{'min': '1.5', 'max': '3'}",,,,May be offered as a joint undergraduate and graduate class.
B1oT2vTX4,ADMN477,ADMN,Strategic Planning and Implementation,"Examines strategic planning processes and how strategic goals can be implemented in public sector organizations. Strategic planning topics include stakeholder analysis; developing mission, value and vision statements; environmental scanning; transforming strategic plans into policies and programs; management tactics; and assessing organizational performance. Implementation topics include: deploying resources; quality control; strategic communication; budgeting; team building; problem solving; progress assessment; completion; and evaluation.",1.5,,,,"Credit will be granted for only one of ADMN 477, ADMN 412, ADMN 470 (if taken in the same topic), ADMN 577."
SJpl6PaQ4,AE103A,AE,Introduction to Art Education I,"A foundation course for those interested in teaching art in school or community settings. Working in various studio activities, students build knowledge and skill in studio art while considering how those experiences may be adapted for young learners. Art education topics include artistic development, critical and cultural perspectives on art and teaching methodologies.",1.5,,,,"Credit will be granted for only one of AE 103A, AE 103, AE 100, AE 101, AE 204, ED-A 701, EDCI 307, EDCI 307A, EDCI 307B, EDUC 307. Students planning to emphasize art in their degree program should register in this course."
Hkgp6hwT7V,ADMN490,ADMN,Directed Studies,Directed reading and/or a research project under the supervision of a Faculty Member.,1.5,Permission of the school.,,,
HJagTwaQN,AE103B,AE,Introduction to Art Education II,A continuing investigation of studio processes and art concepts as well as methods of instruction appropriate to children and youths in classroom and community settings.,1.5,,,,"Credit will be granted for only one of AE 103B, AE 103, AE 100, AE 101, AE 204, ED-A 701, EDCI 307, EDCI 307A, EDCI 307B, EDUC 307. Students planning to emphasize art in their degree program should register in this course."
rkgClpwa74,AE201,AE,Image Development,A survey of methods and practices of innovative image transformation and development of skills and techniques through studio exploration. Instructional applications in various learning environments are considered.,1.5,,,,
BygbWawpmN,AE303A,AE,Introduction to Ceramics Wheel and Hand Techniques,Introduction to the wheel through basic cylinder forms and hand-building skills. Glazing and the process of studio practice are explored through project-based assignments. Historic and contemporary ceramic perspectives and connections to Art Education curriculum are investigated.,1.5,,,,"Credit will be granted for only one of AE 303A, AE 303."
S1ZWWpvTXN,AE303B,AE,Intermediate Ceramics Studio Explorations,"Advanced development of studio practice of wheel, glazing and hand forming techniques. Explores issues of design, content, form and surface. Investigation of historical and contemporary ceramic perspectives and connections to Art Education curriculum.",1.5,Complete 1 of: AE303A - Introduction to Ceramics Wheel and Hand Techniques (1.5) AE309 - Introduction to Ceramic Hand Building Techniques (1.5),,,"Credit will be granted for only one of AE 303B, AE 303."
Syxz-Tvp74,AE305,AE,Drawing,Development of skills and teaching methods in drawing through studio exploration. Instructional applications in various learning environments are considered.,1.5,,,,"Credit will be granted for only one of AE 305, AE 302."
ByMZpwpmN,AE306,AE,Painting,Development of skills and teaching methods in painting through studio exploration. Instructional applications in various learning environments are considered.,1.5,,,,"Credit will be granted for only one of AE 306, AE 302. Supply list available from MacLaurin A430."
B1mW6vpQE,AE307,AE,Printmaking,"An introduction to printmaking including its history, related concepts and selected studio techniques. Exploration and experimentation are emphasized as a means of skill development. Instructional applications in various learning environments are considered.",1.5,,,,"Credit will be granted for only one of AE 307, AE 300."
BkgN-6vaX4,AE310,AE,Introduction to Visual Design,"Introduction to the theory and practice of visual design and its role in our lives. Studio work is project-based and may include package design, brand design, wayfinding and typography.",1.5,,,,"Credit will be granted for only one of AE 310, AE 304."
SkQWavp7E,AE308,AE,Sculpture,Development of skills and teaching methods in sculpture through studio exploration. Instructional applications in various learning environments are considered.,1.5,,,,"Credit will be granted for only one of AE 308, AE 301."
HkVZpPTQE,AE309,AE,Introduction to Ceramic Hand Building Techniques,"Exploration of introductory sculptural and functional techniques through original project-based assignments including pinch, coil, slab, plus surface decoration and basic glazing. Investigation of historical and contemporary ceramic perspectives and connections to Art Education curriculum.",1.5,,,,
SkNZavpX4,AE314,AE,Community Art Education for Social Change,"An introduction to community art education in venues such as community organizations, public spaces, museums, and galleries. Exploration of studio practices unique to community art education and the development of an art exhibition and related educational activities as a contributor to community engagement and social change.",1.5,,,,
BJesbYpm4,AE311,AE,Design Thinking,"Inquiry guided by the design thinking process informs creative problem solving in the art and design context. Studio exploration involves applying the elements and principles of design to art, design and community challenges.",1.5,,,,"Credit will be granted for only one of AE 200, AE 311."
BkLZTDpXV,AE317,AE,Responding to Art,"Methods of teaching art through appreciation, creative response and critique with an emphasis on Canadian art. An investigation of art from the perspectives of aesthetics, art history and art criticism. Students prepare educational materials.",1.5,,,,"Credit will be granted for only one of AE 316, AE 317."
S1IZ6D6mE,AE319,AE,Photography,Basic approaches to photography as an art medium. An exploration of concepts and methods appropriate to elementary and secondary classrooms and other educational settings from simple technologies such as photograms and pinhole photography to 35 mm cameras and darkroom procedures.,1.5,,,,
Hkvb6vp7N,AE322,AE,Digital Arts,"An introduction to contemporary digital arts which may include graphics, animation, modelling, audio, video, or website construction using a critically reflective lens that considers technical and aesthetic concepts.",1.5,,,,
ryj-awamV,AE330,AE,"Visual Design for Marketing, Advocacy and Persuasion",Focus is primarily on design for marketing within the context of its persuasive role in education and educational advocacy. Explores visual design as a problem-solving approach in the development of high impact communication through a combination of theory and studio practice.,1.5,,,,
HkoZaPpmE,AE401,AE,Special Studies,Studies of selected topics in the theory and practice of art education.,1.5,,,,
B1les-FTm4,AE410,AE,Studio Based Artistic Inquiry,Introduces students to artistic inquiry using art methods and materials to examine questions and develop ideas through studio-based assignments. Open to students at all artistic levels working in medium(s) of their choice.,1.5,,,,
S13bTPT7N,AE422,AE,Advanced Digital Arts,"An advanced exploration of contemporary digital arts using graphics, animation, modelling, audio, video, or website construction. Students have the opportunity to explore individual media projects related to areas of interest. Emphasizes advanced digital media theory and practice.",1.5,Complete all of: AE322 - Digital Arts (1.5),,,"Credit will be granted for only one of AE 422, AE 402J."
rJAZpvpm4,AHVS101,AHVS,"First-Year Seminar on Art, Images, Experience","Experiential introduction to the diverse contexts in which we encounter art and images today. Participants may engage in a variety of hands-on activities with art objects, meet with guests who use art and images in various professional contexts, and explore, in a small-group format, current issues pertaining to the study of art.",1.5,,,,Normally class size is limited.
B16W6PaX4,AGEI472,AGEI,Healthy Ageing,"Adopting a life-course perspective, this course will explore the determinants of good health in old age. Those determinants range from biology to the urban environment, from early childhood experience to the availability of supportive services in the community, from education and health literacy to clinical prevention and self-care. Policies and programs from Canada and around the world that support healthy ageing are examined.",1.5,,,,
BkA-avT7N,AGEI473,AGEI,Chronic Disease and Ageing,"Chronic diseases are very prevalent among the elderly, and their management has a major influence on the health, functionality and quality of life of older people. The growing body of evidence and experience in the delivery of high quality, safe, effective care is examined and the design of systems that encourage and support high quality care are explored. The role of chronic disease self-management and social support networks is an important focus.",1.5,,,,
S1eRZpDaQ4,AHVS120,AHVS,Exploring World Art,"An introductory survey of visual culture and artistic expressions from prehistory to the present. Students learn the fundamentals of visual analysis to understand and appreciate the world's art. Comprehension of the similarities that connect visual traditions around the globe, as well as understanding of cultural differences.",1.5,,,,"Credit will be granted for only one of AHVS 120, HA 120."
B1yzpD67N,AHVS121,AHVS,Understanding Visual Communication,"An examination of the impact of visual imagery on the lives of individuals and communities. Introduces the idea that images constitute a complex system of visual communication, giving essentials of visual analysis and interpretation. Content may include, advertising, branding and the internet, comics, video game imagery and traditional artistic forms.",1.5,,,,"Credit will be granted for only one of AHVS 121, HA 121."
B11zpPamE,AHVS200,AHVS,Artists' Materials and Techniques,"An examination of the techniques used by artists throughout history, in western and nonwestern cultures. The development of art technology is considered in its historical and social contexts. Period or area of emphasis may vary.","['1.5', '3']",,,,"Credit will be granted for only one of AHVS 200, HA 200, HA 310."
HyxGpPp7E,AHVS222,AHVS,The Classical Tradition in Western Art,An introduction to the influence of Greco-Roman artistic traditions on subsequent periods of European civilization. The classical inheritance in terms of both style and iconography is examined in a variety of selected monuments from the Middle Ages through to the 20th century.,1.5,,,,"Credit will be granted for only one of AHVS 222, HA 222."
ryJfpv6XV,AHVS202,AHVS,Confronting the Object,Provides first-hand experience working with objects in collections. Emphasizes the recovery of the historical context and the ways in which artifacts are presented in museums and other cultural institutions.,1.5,,,,"Credit will be granted for only one of AHVS 202, HA 202."
HJeGTwpm4,AHVS223,AHVS,Introduction to Western Architecture,"An introduction to the aims and methods of architectural history using case-studies of monuments from the history of Western architecture from archaic Greece to the present. Issues considered can include: changing patterns of patronage; shifts in building-types, features, and structural systems; and influential theories of design.","['1.5', '3']",,,,"Credit will be granted for only one of AHVS 223, HA 223."
BylxzawaQN,AHVS230,AHVS,Monuments of South and Southeast Asia,"An introduction to Indigenous, Hindu, Buddhist and Islamic world views through the study of religious monuments and ideas in South and Southeast Asia, including philosophical and religious principles underlying architecture, painting, sculpture and textiles. Emphasizes the learning of analytical and writing skills essential to these areas of Asian art history.",1.5,,,,"Credit will be granted for only one of AHVS 230, HA 230."
rJZGpD67N,AHVS241,AHVS,The Image of the Artist,"Investigates how artists and cultures create artistic identities. Topics may include the social and economic status of artists, theories of creativity and genius, the art market, guilds and academies, self-portraits, artists' houses and tombs, cross-cultural understandings of creators and the role of social media, video and the internet in the creation of artistic identity.",1.5,,,,"Credit will be granted for only one of AHVS 241, HA 241."
rkZG6Pp7V,AHVS232,AHVS,Sacred Form in South and Southeast Asian Art,"An introduction to select forms and symbols in Buddhist and Hindu art. Focus may include figurative, geometric, informal and formal arts, in lasting and ephemeral materials. Provides students with the basic skills to describe and analyze arts of the region created in religious or spiritual contexts.",1.5,,,,"Credit will be granted for only one of AHVS 232, HA 232."
Hybz6PpQ4,AHVS234,AHVS,Encountering Renaissance Art,"An examination of key works of art and architecture by major creative minds in Europe during the Renaissance (1400-1550), such as Donatello, Alberti, Leonardo, Michelangelo, Bosch and Sophonisba Anguissola.",1.5,,,,"Credit will be granted for only one of AHVS 234, HA 234."
ByMGawpXN,AHVS251,AHVS,Introduction to the Arts of Islam,"An introductory survey of the art and architecture of Islam around the world, beginning with the rise of Islam and continuing to the present.",1.5,,,,"Credit will be granted for only one of AHVS 251, HA 251, HIST 251."
BkfG6v6mV,AHVS260,AHVS,Modern and Contemporary Art Icons,"An in-depth introduction to the life and career of modern or contemporary art icons such as Joseph Beuys, Barbara Hepworth, Andy Warhol, Georgia O'Keeffe, Pablo Picasso, Varvara Stepanova or Marina Abramovic. Studied artists vary.","['1.5', '3']",,,,"Credit will be granted for only one of AHVS 260, HA 260."
H1Qz6D6XE,AHVS264,AHVS,Art History and the Lens,"A survey of the role of images in various social and cultural venues. Case studies may examine the relationships between photographic images and exhibitions, publications, film, artwork, and other media within the context of different cultures and social practices.",1.5,,,,"Credit will be granted for only one of AHVS 264, HA 264."
HkQGavamN,AHVS268,AHVS,Introduction to Canadian Art and Architecture,"An introductory survey of principal periods, media, practitioners, and movements in the history of non-native Canadian art and architecture from first settlement to today. The arts of English and French Canada are considered, and the political, social and cultural settings in which they have been made is explored.","['1.5', '3']",,,,"Credit will be granted for only one of AHVS 268, HA 268. Several classes may be taught at the Art Gallery of Greater Victoria."
S1gXzTvamN,AHVS284,AHVS,"Indigenous Arts, Local Themes and Global Challenges","Explores values and philosophies conveyed by First Nations arts of the Northwest Coast. Examines how older and contemporary arts reflect human connections with the environment, roles of arts and artists in 21st-century events and activism, arts and the Internet, diversity of cultural expressions and relevance to global challenges such as climate change.",1.5,,,,"Credit will be granted for only one of AHVS 284, HA 284, HA 382A (if taken prior to Sep-Dec 1999)."
SyEG6D6XN,AHVS292,AHVS,Selected Themes in Art History and Visual Studies,An introduction to a selected theme or area of art-historical study that is not covered in other AHVS courses at this level. Content may vary from year to year.,"['1.5', '3']",,,,"Credit will be granted for only one of AHVS 292, HA 292 (if taken in the same topic)."
SySzTP6m4,AHVS295B,AHVS,Introduction to Film Studies,"An investigation of film culture and its relationship to social and historical contexts. Considers key issues in film scholarship, critical strategies and theoretical concepts. Involves a three hour lecture or screening and a one hour tutorial a week.",1.5,,,,"Credit will be granted for only one of AHVS 295B, HA 295, HA 295B."
B1lNMpwamV,AHVS295A,AHVS,Introduction to Film Analysis,"An investigation of film culture and its relationship to social and historical contexts. Focuses on active readings of cinematic texts, searching for the possible meanings of individual shots, sequences and narrative structures. Involves a three hour lecture or screening and a one hour tutorial a week.",1.5,,,,"Credit will be granted for only one of AHVS 295A, HA 295, HA 295A."
HJHMpDpX4,AHVS300A,AHVS,Masterpieces of Art and Architecture,An analysis of selected works of art central to the traditions of world art.,1.5,,,,"Credit will be granted for only one of AHVS 300A, HA 300A."
rJgHfpD674,AHVS300B,AHVS,"Fakes, Forgeries and Fraud","Case studies examine art crimes in different regions and periods. Introduces historical, legal and forensic issues related to authentication and object recovery.",1.5,,,,
HJ8M6vpQN,AHVS300C,AHVS,The Destruction of Art,"Examines the intentional damaging of art and architecture in times of conflict. Central themes include iconoclasm, political and religious censorship, looting and vandalism. Case studies cover different regions and periods while focusing on the motivations of groups and individuals.",1.5,,,,
ByvM6waQE,AHVS310B,AHVS,Presenting Digital Art History,"Explores the key shifts and art historical implications of the digital revolution. Students also investigate the graphic components of their identities as emerging scholars and digital citizens, developing skills in industry-standard software and applications for effective and compelling presentations.",1.5,,,,"Credit will be granted for only one of AHVS 310B, HA 310B."
BkxPzav6mV,AHVS310C,AHVS,Digital Tools for Art History and Visual Studies,"In this lab-based course students use digital tools in relation to art history and visual studies. They explore a variety of new technologies to approach, shape and develop research projects. Topics include: image mark-up and augmentation, digital curation, information visualization and mapping, contemporary and historical environment creation.",1.5,,,,"Credit will be granted for only one of AHVS 310C, HA 310C. No programming or coding experience is required."
SkPGavaQ4,AHVS310D,AHVS,Environmental Art,"A survey of examples of Environmental Art to the present day, beginning with the 1960s Land Art movement. Topics may include: earthworks, environmental art, performances and actions by artists ranging from Robert Smithson, Walter de Maria, Ana Mendieta, Andy Goldsworthy, Alice Aycock.",1.5,,,,"Credit will be granted for only one of AHVS 310D, HA 310D."
rkufaDpXE,AHVS310E,AHVS,Topics in Craft and Communities,"A survey of the major craft movements in British Columbia from the late nineteenth century to the present focusing on the changing views of craft within various contexts such as the Arts and Crafts Movement, the Canadian Craft Guild, the Canada Council for the Arts, indigenous rights and contemporary DIY political action.",1.5,,,,"Credit will be granted for only one of AHVS 310E, HA 310E (if taken in the same topic)."
HkIzaD6Q4,AHVS310A,AHVS,Making Art History,Experiential research into objects and applied arts. Students engage with objects to develop technical and social insight into their histories and cultural values. Topics vary.,1.5,,,,"Credit will be granted for only one of AHVS 310A, HA 310A (if taken in the same topic)."
SkOz6DTmV,AHVS310F,AHVS,Modern and Contemporary Design,"Focuses on the cultural roles of design in finding creative solutions to basic human needs, such as shelter, clothing, useful objects, visual communications, transportation and built environments in a variety of social contexts.",1.5,,,,"Credit will be granted for only one of AHVS 310F, HA 310F."
Hkxuf6v674,AHVS311A,AHVS,Visual Intelligence,"Introduces new research in the field of visual intelligence. Explores Leonardo da Vinci and other artists' methods of open-ended inquiry and effective problem solving, through observation, visual analysis and application. Students engage in self-generated research questions, applying historical and contemporary tools from global artmaking to their learning.",1.5,,,,"Credit will be granted for only one of AHVS 311A, HA 311A."
S1eFGTv67E,AHVS311D,AHVS,Artists and Art History in Popular Culture,"Examines the portrayal of art movements, artists, art works, art historians, and art critics in popular media such as radio, film, television or comics.",1.5,,,,
B1tf6P67E,AHVS311B,AHVS,Looking and the History of Perception,"A thematic introduction to issues of visuality, brain and perceptual functioning in past and present societies around the world. Content may include, the perception of space, motion and colour; pictures, symbols and signs; images and abstract thinking; art and the imitation of nature; tradition and its impact on seeing; new insights from the field of neuroarthistory.",1.5,,,,"Credit will be granted for only one of AHVS 311B, HA 311B."
B12NqPx72,AHVS310G,AHVS,Fashion Curation and Art History,"A survey of fashion as art. Includes an experiential component around the display of garments in local museums and galleries. May include curatorial requirements specific to clothing, the history and significance of associated technologies, an introduction to the ethics of specific designs and designers around the globe.",1.5,,,,
ry9fpvam4,AHVS311E,AHVS,History of Video Games and Interactive Media,"Explores the cultural role of video games as an interactive visual medium. Classes focus on influential games and designers, new genres and technological innovations, the integration of visual art, sound, narrative and interactive game play, questions of representation, race, gender, games as art, representations of art and artists and other themes.",1.5,,,,"Credit will be granted for only one of AHVS 311E, TS 320 (if taken in the same topic)."
rJ9fTDaXE,AHVS311F,AHVS,Horror Video Games,An inquiry into the nature of fear and the grotesque in digital games as an interactive visual medium. Examines a variety of mainstream and independent digital games for their use of horror tropes. Employs various theoretical perspectives to investigate relevant digital games.,1.5,,,,
HyFMTvpQN,AHVS311C,AHVS,The Sacred Gaze,"An exploration of ways of seeing that invest images, buildings, people and places with spiritual significance. Investigates key aspects of vision and imagery in a variety of religious traditions.",1.5,,,,"Credit will be granted for only one of AHVS 311C, HA 311C."
Skg5f6vaXE,AHVS312,AHVS,"Gender, Identity and Film","Examines representations of women and by women, in a variety of film forms (experimental, documentary, narrative) and within a range of historical periods. Emphasis is placed on feminist theories of representation, visual pleasure, spectatorship and subjectivity and on analyses of key films.",1.5,,,,"Credit will be granted for only one of AHVS 312, HA 312."
SyWRQ-RdI,AHVS319,AHVS,The Art of Power in South Asia,Examines works of visual culture from South Asia from prehistory to the present that express power.,1.5,,,,
B1sG6vT74,AHVS321,AHVS,Late Antique and Early Christian Art,"An introductory survey of the art and architecture of the Mediterranean world from the origins of Christian art in the third century CE to the onset of Iconoclasm in the eighth century. In addition to a detailed examination of surviving monuments and art objects, an emphasis is placed on the sources of Christian iconography and the relationship between art, theology and liturgy.",1.5,,,,"Credit will be granted for only one of AHVS 321, HA 321."
SkiS-b0uI,AHVS314,AHVS,Special Topics in The Art of the Garden,"Focuses on key gardens throughout the world from the earliest times to present. Special attention is paid to intersections between nature, religion, power, plant symbolism, art and architecture. Also examines the garden’s various social functions.",1.5,,,,
