UVIC Course Description,Subject,Course Number,Course Name
ANTH397 - The Archaeology of Death,ANTH,397,The Archaeology of Death
ANTH398 - Life and Death in the Viking World,ANTH,398,Life and Death in the Viking World
ANTH400A - History of Anthropological Theory,ANTH,400A,History of Anthropological Theory
ANTH400B - Current Trends in Anthropological Theory,ANTH,400B,Current Trends in Anthropological Theory
ANTH402 - Feminist Theory and Method in Anthropology,ANTH,402,Feminist Theory and Method in Anthropology
ANTH405 - Advanced Economic Anthropology,ANTH,405,Advanced Economic Anthropology
ANTH408 - Anthropology and Photography,ANTH,408,Anthropology and Photography
ANTH409 - Applied Ethnographic Film,ANTH,409,Applied Ethnographic Film
ANTH410 - Advanced Topics in Medical Anthropology,ANTH,410,Advanced Topics in Medical Anthropology
ANTH415 - The Anthropology of Money in Theory and Practice,ANTH,415,The Anthropology of Money in Theory and Practice
"ANTH433 - Ethnographic Approaches to Coast Salish Land, Law and Culture",ANTH,433,"Ethnographic Approaches to Coast Salish Land, Law and Culture"
ANTH436 - Applied Indigenous Ways of Knowing,ANTH,436,Applied Indigenous Ways of Knowing
ANTH441 - Archaeological Theory,ANTH,441,Archaeological Theory
ANTH442 - Marine Historical Ecology,ANTH,442,Marine Historical Ecology
ANTH449 - Archaeology of the Northwest Coast,ANTH,449,Archaeology of the Northwest Coast
ANTH450 - Seminar in Primate Cognition and Behaviour,ANTH,450,Seminar in Primate Cognition and Behaviour
ANTH452 - Advanced Topics in Human Osteology,ANTH,452,Advanced Topics in Human Osteology
ANTH454 - Approaches to Human Bioarchaeology,ANTH,454,Approaches to Human Bioarchaeology
ANTH456 - Evolutionary Anthropology,ANTH,456,Evolutionary Anthropology
ANTH460 - Ethnographic Mapping and Indigenous Cartographies,ANTH,460,Ethnographic Mapping and Indigenous Cartographies
ANTH481 - Seminar in Area Studies,ANTH,481,Seminar in Area Studies
ANTH482 - Seminar in Archaeology,ANTH,482,Seminar in Archaeology
ANTH483 - Seminar in Cultural Anthropology,ANTH,483,Seminar in Cultural Anthropology
ANTH484 - Seminar in Biological Anthropology,ANTH,484,Seminar in Biological Anthropology
ANTH485 - Seminar in Method and Theory,ANTH,485,Seminar in Method and Theory
ANTH491 - Directed Studies in Anthropology: Area Studies,ANTH,491,Directed Studies in Anthropology: Area Studies
ANTH492 - Directed Studies in Anthropology: Archaeology,ANTH,492,Directed Studies in Anthropology: Archaeology
ANTH493 - Directed Studies in Anthropology: Cultural Anthropology,ANTH,493,Directed Studies in Anthropology: Cultural Anthropology
ANTH494 - Directed Studies in Anthropology: Biological Anthropology,ANTH,494,Directed Studies in Anthropology: Biological Anthropology
ANTH495 - Directed Studies in Anthropology: Method and Theory,ANTH,495,Directed Studies in Anthropology: Method and Theory
ANTH499 - Honours Seminar,ANTH,499,Honours Seminar
AE103A - Introduction to Art Education I,AE,103A,Introduction to Art Education I
AE103B - Introduction to Art Education II,AE,103B,Introduction to Art Education II
AE201 - Image Development,AE,201,Image Development
AE303A - Introduction to Ceramics Wheel and Hand Techniques,AE,303A,Introduction to Ceramics Wheel and Hand Techniques
AE303B - Intermediate Ceramics Studio Explorations,AE,303B,Intermediate Ceramics Studio Explorations
AE305 - Drawing,AE,305,Drawing
AE306 - Painting,AE,306,Painting
AE307 - Printmaking,AE,307,Printmaking
AE308 - Sculpture,AE,308,Sculpture
AE309 - Introduction to Ceramic Hand Building Techniques,AE,309,Introduction to Ceramic Hand Building Techniques
AE310 - Introduction to Visual Design,AE,310,Introduction to Visual Design
AE311 - Design Thinking,AE,311,Design Thinking
AE314 - Community Art Education for Social Change,AE,314,Community Art Education for Social Change
AE317 - Responding to Art,AE,317,Responding to Art
AE319 - Photography,AE,319,Photography
AE322 - Digital Arts,AE,322,Digital Arts
"AE330 - Visual Design for Marketing, Advocacy and Persuasion",AE,330,"Visual Design for Marketing, Advocacy and Persuasion"
AE401 - Special Studies,AE,401,Special Studies
AE410 - Studio Based Artistic Inquiry,AE,410,Studio Based Artistic Inquiry
AE422 - Advanced Digital Arts,AE,422,Advanced Digital Arts
"AHVS101 - First-Year Seminar on Art, Images, Experience",AHVS,101,"First-Year Seminar on Art, Images, Experience"
AHVS120 - Exploring World Art,AHVS,120,Exploring World Art
AHVS121 - Understanding Visual Communication,AHVS,121,Understanding Visual Communication
AHVS200 - Artists' Materials and Techniques,AHVS,200,Artists' Materials and Techniques
AHVS202 - Confronting the Object,AHVS,202,Confronting the Object
AHVS222 - The Classical Tradition in Western Art,AHVS,222,The Classical Tradition in Western Art
AHVS223 - Introduction to Western Architecture,AHVS,223,Introduction to Western Architecture
AHVS230 - Monuments of South and Southeast Asia,AHVS,230,Monuments of South and Southeast Asia
AHVS232 - Sacred Form in South and Southeast Asian Art,AHVS,232,Sacred Form in South and Southeast Asian Art
AHVS234 - Encountering Renaissance Art,AHVS,234,Encountering Renaissance Art
AHVS241 - The Image of the Artist,AHVS,241,The Image of the Artist
AHVS251 - Introduction to the Arts of Islam,AHVS,251,Introduction to the Arts of Islam
AHVS260 - Modern and Contemporary Art Icons,AHVS,260,Modern and Contemporary Art Icons
AHVS264 - Art History and the Lens,AHVS,264,Art History and the Lens
AHVS268 - Introduction to Canadian Art and Architecture,AHVS,268,Introduction to Canadian Art and Architecture
"AHVS284 - Indigenous Arts, Local Themes and Global Challenges",AHVS,284,"Indigenous Arts, Local Themes and Global Challenges"
AHVS292 - Selected Themes in Art History and Visual Studies,AHVS,292,Selected Themes in Art History and Visual Studies
AHVS295A - Introduction to Film Analysis,AHVS,295A,Introduction to Film Analysis
AHVS295B - Introduction to Film Studies,AHVS,295B,Introduction to Film Studies
AHVS300A - Masterpieces of Art and Architecture,AHVS,300A,Masterpieces of Art and Architecture
"AHVS300B - Fakes, Forgeries and Fraud",AHVS,300B,"Fakes, Forgeries and Fraud"
AHVS300C - The Destruction of Art,AHVS,300C,The Destruction of Art
AHVS310A - Making Art History,AHVS,310A,Making Art History
AHVS310B - Presenting Digital Art History,AHVS,310B,Presenting Digital Art History
AHVS310C - Digital Tools for Art History and Visual Studies,AHVS,310C,Digital Tools for Art History and Visual Studies
AHVS310D - Environmental Art,AHVS,310D,Environmental Art
AHVS310E - Topics in Craft and Communities,AHVS,310E,Topics in Craft and Communities
AHVS310F - Modern and Contemporary Design,AHVS,310F,Modern and Contemporary Design
AHVS310G - Fashion Curation and Art History,AHVS,310G,Fashion Curation and Art History
AHVS311A - Visual Intelligence,AHVS,311A,Visual Intelligence
AHVS311B - Looking and the History of Perception,AHVS,311B,Looking and the History of Perception
AHVS311C - The Sacred Gaze,AHVS,311C,The Sacred Gaze
AHVS311D - Artists and Art History in Popular Culture,AHVS,311D,Artists and Art History in Popular Culture
AHVS311E - History of Video Games and Interactive Media,AHVS,311E,History of Video Games and Interactive Media
AHVS311F - Horror Video Games,AHVS,311F,Horror Video Games
"AHVS312 - Gender, Identity and Film",AHVS,312,"Gender, Identity and Film"
AHVS314 - Special Topics in The Art of the Garden,AHVS,314,Special Topics in The Art of the Garden
AHVS319 - The Art of Power in South Asia,AHVS,319,The Art of Power in South Asia
AHVS321 - Late Antique and Early Christian Art,AHVS,321,Late Antique and Early Christian Art
AHVS323 - Byzantine Art,AHVS,323,Byzantine Art
AHVS324 - Ancient and Medieval Jewish Art,AHVS,324,Ancient and Medieval Jewish Art
AHVS326 - Early Medieval Art,AHVS,326,Early Medieval Art
AHVS328 - Gothic Art and Architecture,AHVS,328,Gothic Art and Architecture
AHVS329 - People and Possessions in Medieval Households,AHVS,329,People and Possessions in Medieval Households
AHVS330A - Early Arts of South Asia,AHVS,330A,Early Arts of South Asia
AHVS330B - Later Arts of South Asia,AHVS,330B,Later Arts of South Asia
AHVS330C - The Body in Indian Art,AHVS,330C,The Body in Indian Art
"AHVS332A - Bollywood and Popular Visual Culture in India, 1950s onwards",AHVS,332A,"Bollywood and Popular Visual Culture in India, 1950s onwards"
"AHVS332B - Bollywood Global and Popular Visual Culture, India and Diaspora, 1990s onwards",AHVS,332B,"Bollywood Global and Popular Visual Culture, India and Diaspora, 1990s onwards"
AHVS333A - Early Arts of Southeast Asia,AHVS,333A,Early Arts of Southeast Asia
AHVS333B - Later Arts of Southeast Asia,AHVS,333B,Later Arts of Southeast Asia
AHVS337 - Special Topics in Contemporary Asian Art,AHVS,337,Special Topics in Contemporary Asian Art
AHVS337A - Modern and Contemporary Chinese Art,AHVS,337A,Modern and Contemporary Chinese Art
AHVS337B - Modern and Contemporary Southeast Asian Art,AHVS,337B,Modern and Contemporary Southeast Asian Art
AHVS338 - Special Topics in Premodern Asian Art,AHVS,338,Special Topics in Premodern Asian Art
AHVS339 - The Global Renaissance,AHVS,339,The Global Renaissance
AHVS341A - Art in Renaissance Florence,AHVS,341A,Art in Renaissance Florence
AHVS341C - Michelangelo and Leonardo,AHVS,341C,Michelangelo and Leonardo
AHVS342A - Baroque Art in Italy 1550-1700,AHVS,342A,Baroque Art in Italy 1550-1700
AHVS342B - Experiencing Baroque Painting,AHVS,342B,Experiencing Baroque Painting
AHVS342C - Gender and Sexuality in European Art 1400-1800,AHVS,342C,Gender and Sexuality in European Art 1400-1800
AHVS342D - Collecting Cultures in Early Modern Europe,AHVS,342D,Collecting Cultures in Early Modern Europe
AHVS343A - Art in Venice 1500-1800,AHVS,343A,Art in Venice 1500-1800
AHVS343B - The 18th Century in Northern Europe,AHVS,343B,The 18th Century in Northern Europe
AHVS343C - Special Topics in The Lives of Artists,AHVS,343C,Special Topics in The Lives of Artists
AHVS344A - The Art of Travel 1200-1600,AHVS,344A,The Art of Travel 1200-1600
AHVS344B - The Art of Travel 1600 to Present Day,AHVS,344B,The Art of Travel 1600 to Present Day
AHVS345 - People and Things in the Early Modern Domestic Interior,AHVS,345,People and Things in the Early Modern Domestic Interior
AHVS346C - Visual Culture in Jane Austen's World,AHVS,346C,Visual Culture in Jane Austen's World
AHVS347 - Art and Architecture of the Safavid and Mughal Empires,AHVS,347,Art and Architecture of the Safavid and Mughal Empires
AHVS348 - Introduction to Islamic Archaeology,AHVS,348,Introduction to Islamic Archaeology
"AHVS349 - Islam and the West: Artistic Contacts, 1500-1900",AHVS,349,"Islam and the West: Artistic Contacts, 1500-1900"
AHVS351A - Painting in Medieval Islam,AHVS,351A,Painting in Medieval Islam
AHVS351B - Painting in Iran,AHVS,351B,Painting in Iran
AHVS352 - The Genesis of Islamic Art and Architecture,AHVS,352,The Genesis of Islamic Art and Architecture
AHVS354 - Medieval Islamic Art and Architecture,AHVS,354,Medieval Islamic Art and Architecture
AHVS355A - Old Kingdom Arts of Egypt,AHVS,355A,Old Kingdom Arts of Egypt
AHVS355B - New Kingdom Arts of Egypt,AHVS,355B,New Kingdom Arts of Egypt
"AHVS357 - Arts of Mediterranean Islam, 13th- 20th Centuries",AHVS,357,"Arts of Mediterranean Islam, 13th- 20th Centuries"
AHVS358 - Art of the Sultans and Emperors of India,AHVS,358,Art of the Sultans and Emperors of India
AHVS359 - Islamic Arts from the Mongol Conquests to Modernity,AHVS,359,Islamic Arts from the Mongol Conquests to Modernity
"AHVS362A - Modern Art in Europe and North America, 1900 to 1945",AHVS,362A,"Modern Art in Europe and North America, 1900 to 1945"
"AHVS362B - Art in Europe and North America, 1945 to present",AHVS,362B,"Art in Europe and North America, 1945 to present"
AHVS362C - Critical Issues in Contemporary Art,AHVS,362C,Critical Issues in Contemporary Art
AHVS363 - The Cinema and Modern Art Movements,AHVS,363,The Cinema and Modern Art Movements
AHVS364 - Documentary Film,AHVS,364,Documentary Film
AHVS365 - Experimental Film,AHVS,365,Experimental Film
AHVS367 - History in Cinema,AHVS,367,History in Cinema
AHVS368B - Modern and Contemporary Canadian Art,AHVS,368B,Modern and Contemporary Canadian Art
AHVS369 - History of Photography,AHVS,369,History of Photography
AHVS370A - Popular Film and Cultural Theory,AHVS,370A,Popular Film and Cultural Theory
AHVS370C - Horror Cinema,AHVS,370C,Horror Cinema
AHVS370D - Canadian Film,AHVS,370D,Canadian Film
AHVS370E - The Family in Film,AHVS,370E,The Family in Film
AHVS370F - Apocalyptic Themes in Cinema,AHVS,370F,Apocalyptic Themes in Cinema
AHVS370G - Time in Cinema,AHVS,370G,Time in Cinema
AHVS372A - Chinese Art and Architecture,AHVS,372A,Chinese Art and Architecture
AHVS373A - Japanese Art and Architecture,AHVS,373A,Japanese Art and Architecture
AHVS381A - Modernism and Modern Art of the Pacific Northwest,AHVS,381A,Modernism and Modern Art of the Pacific Northwest
AHVS381B - Contemporary Art of the Pacific Northwest,AHVS,381B,Contemporary Art of the Pacific Northwest
AHVS381C - Contemporary Global Art,AHVS,381C,Contemporary Global Art
AHVS382A - Indigenous Arts of the Arctic and Subarctic,AHVS,382A,Indigenous Arts of the Arctic and Subarctic
"AHVS382B - Indigenous Arts of the Southwest, California and Great Basin",AHVS,382B,"Indigenous Arts of the Southwest, California and Great Basin"
"AHVS382C - Indigenous Arts of the Plains, Plateau, Woodlands and Southeast",AHVS,382C,"Indigenous Arts of the Plains, Plateau, Woodlands and Southeast"
AHVS383 - Special Topics in North American Indigenous Arts,AHVS,383,Special Topics in North American Indigenous Arts
AHVS383A - Arts and Indigenous Ways of Knowing,AHVS,383A,Arts and Indigenous Ways of Knowing
AHVS383B - Indigenous Arts and the Internet,AHVS,383B,Indigenous Arts and the Internet
AHVS384 - Northwest Coast Indigenous Arts and Colonization,AHVS,384,Northwest Coast Indigenous Arts and Colonization
AHVS385A - Indigenous Fashion in the Pacific Northwest,AHVS,385A,Indigenous Fashion in the Pacific Northwest
AHVS385B - Pacific Northwest Indigenous Arts and Exhibitions,AHVS,385B,Pacific Northwest Indigenous Arts and Exhibitions
AHVS386 - Approaches to Collections and Museums,AHVS,386,Approaches to Collections and Museums
"AHVS387A - European and North American Architecture, 1750 to 1900",AHVS,387A,"European and North American Architecture, 1750 to 1900"
AHVS387B - Modern and Contemporary Architecture,AHVS,387B,Modern and Contemporary Architecture
AHVS388 - Global Case Studies in Indigenous Arts,AHVS,388,Global Case Studies in Indigenous Arts
AHVS389 - Art History and Curatorial Research,AHVS,389,Art History and Curatorial Research
AHVS390 - Directed Studies,AHVS,390,Directed Studies
AHVS392 - Special Topics in Art History and Visual Studies,AHVS,392,Special Topics in Art History and Visual Studies
AHVS395 - Art History in Action,AHVS,395,Art History in Action
AHVS397 - A Social History of Impressionism,AHVS,397,A Social History of Impressionism
AHVS397A - A Social History of Post-Impressionism,AHVS,397A,A Social History of Post-Impressionism
AHVS398A - Art and Revolution I,AHVS,398A,Art and Revolution I
AHVS398B - Art and Revolution II,AHVS,398B,Art and Revolution II
AHVS411 - Seminar in World Histories of Art,AHVS,411,Seminar in World Histories of Art
AHVS420 - Seminar in Medieval Art,AHVS,420,Seminar in Medieval Art
AHVS430 - Seminar in the Contemporary Art of South and Southeast Asia,AHVS,430,Seminar in the Contemporary Art of South and Southeast Asia
"AHVS435 - Seminar in Late Medieval and Early Renaissance Art, c. 1200-1500",AHVS,435,"Seminar in Late Medieval and Early Renaissance Art, c. 1200-1500"
"AHVS447 - Seminar in Early Modern Art, c. 1500-1750",AHVS,447,"Seminar in Early Modern Art, c. 1500-1750"
AHVS449 - Seminar in Orientalism in Art and Architecture,AHVS,449,Seminar in Orientalism in Art and Architecture
AHVS450 - Seminar in Islamic Art and Civilization,AHVS,450,Seminar in Islamic Art and Civilization
AHVS451 - Seminar in the Arts of Mughal India,AHVS,451,Seminar in the Arts of Mughal India
AHVS457 - Seminar in Canadian Art,AHVS,457,Seminar in Canadian Art
AHVS460 - Seminar in Modern Art I (1870-1945),AHVS,460,Seminar in Modern Art I (1870-1945)
AHVS461 - Seminar in Modern Art II (1945-present),AHVS,461,Seminar in Modern Art II (1945-present)
AHVS464 - Seminar in Contemporary Art,AHVS,464,Seminar in Contemporary Art
AHVS465 - Seminar in 19th- and 20th-Century Architecture,AHVS,465,Seminar in 19th- and 20th-Century Architecture
AHVS478 - Seminar in Film Studies,AHVS,478,Seminar in Film Studies
AHVS480 - Seminar in Contemporary North American Indigenous Arts,AHVS,480,Seminar in Contemporary North American Indigenous Arts
AHVS482 - Seminar in Indigenous Arts,AHVS,482,Seminar in Indigenous Arts
AHVS484 - Seminar in the Contemporary Arts of the Pacific Northwest,AHVS,484,Seminar in the Contemporary Arts of the Pacific Northwest
AHVS486A - Museum Principles and Practices I,AHVS,486A,Museum Principles and Practices I
AHVS486B - Museum Principles and Practices II,AHVS,486B,Museum Principles and Practices II
AHVS487A - Heritage Resource Management,AHVS,487A,Heritage Resource Management
AHVS488A - Managing Cultural Organizations,AHVS,488A,Managing Cultural Organizations
AHVS488B - Collections Management,AHVS,488B,Collections Management
AHVS488C - Communicating Through Exhibitions,AHVS,488C,Communicating Through Exhibitions
AHVS488D - Caring for Museum Collections,AHVS,488D,Caring for Museum Collections
AHVS488G - Public Programming,AHVS,488G,Public Programming
AHVS488H - Topics in Museum Studies,AHVS,488H,Topics in Museum Studies
AHVS488I - Indigenous Cultural Stewardship,AHVS,488I,Indigenous Cultural Stewardship
AHVS488J - Contemporary Perspectives in Curatorship,AHVS,488J,Contemporary Perspectives in Curatorship
AHVS488K - Exhibition Planning and Design,AHVS,488K,Exhibition Planning and Design
AHVS488N - Digital Planning for the Cultural Sector,AHVS,488N,Digital Planning for the Cultural Sector
AHVS488S - Building Community Relationships,AHVS,488S,Building Community Relationships
AHVS488U - Managing Archival Collections,AHVS,488U,Managing Archival Collections
AHVS488V - Museums as Learning Environments,AHVS,488V,Museums as Learning Environments
AHVS488W - Community Engagement and Social Change,AHVS,488W,Community Engagement and Social Change
AHVS488X - Curatorial Planning and Practice,AHVS,488X,Curatorial Planning and Practice
AHVS488Y - Visitor Experiences,AHVS,488Y,Visitor Experiences
AHVS489A - Heritage Area Conservation,AHVS,489A,Heritage Area Conservation
AHVS489C - Recognizing the Significance of Heritage Resources,AHVS,489C,Recognizing the Significance of Heritage Resources
AHVS489E - Topics in Heritage Conservation,AHVS,489E,Topics in Heritage Conservation
AHVS489G - Cultural Landscapes,AHVS,489G,Cultural Landscapes
AHVS489H - Cultural Tourism,AHVS,489H,Cultural Tourism
AHVS489K - Heritage Conservation in Context,AHVS,489K,Heritage Conservation in Context
AHVS489L - Heritage Conservation Planning,AHVS,489L,Heritage Conservation Planning
AHVS490 - Directed Studies,AHVS,490,Directed Studies
AHVS491A - Directed Studies in Cultural Resource Management,AHVS,491A,Directed Studies in Cultural Resource Management
AHVS491B - Practicum in Cultural Resource Management,AHVS,491B,Practicum in Cultural Resource Management
AHVS492 - Advanced Studies in Art History and Visual Studies,AHVS,492,Advanced Studies in Art History and Visual Studies
AHVS493 - Seminar on the Williams Collection,AHVS,493,Seminar on the Williams Collection
AHVS498 - Majors Seminar,AHVS,498,Majors Seminar
AHVS499 - Honours Seminar,AHVS,499,Honours Seminar
ARTS190 - Individual Study,ARTS,190,Individual Study
ARTS290 - Individual Study,ARTS,290,Individual Study
ARTS390 - Individual Study,ARTS,390,Individual Study
ACAN225 - Introduction to the Arts of Canada,ACAN,225,Introduction to the Arts of Canada
ASTR101 - Exploring the Night Sky,ASTR,101,Exploring the Night Sky
ASTR102 - Exploring the Cosmos,ASTR,102,Exploring the Cosmos
ASTR150 - Concepts in Modern Astronomy,ASTR,150,Concepts in Modern Astronomy
ASTR201 - The Search for Life in the Universe,ASTR,201,The Search for Life in the Universe
ASTR250 - Introduction to Astrophysics,ASTR,250,Introduction to Astrophysics
ASTR255 - Introduction to Planetary Science,ASTR,255,Introduction to Planetary Science
ASTR303 - Introductory Extragalactic Astronomy,ASTR,303,Introductory Extragalactic Astronomy
ASTR329 - Introduction to Observational Astronomy,ASTR,329,Introduction to Observational Astronomy
ASTR403 - Introduction to Astrophysical Processes,ASTR,403,Introduction to Astrophysical Processes
ASTR404 - Introduction to Stellar Astrophysics,ASTR,404,Introduction to Stellar Astrophysics
ASTR405 - Introduction to Cosmology,ASTR,405,Introduction to Cosmology
ASTR490 - Directed Studies,ASTR,490,Directed Studies
BIOC102 - Biochemistry and Human Health,BIOC,102,Biochemistry and Human Health
BIOC299 - Biochemistry for Non-Majors,BIOC,299,Biochemistry for Non-Majors
BIOC300A - General Biochemistry I,BIOC,300A,General Biochemistry I
BIOC300B - General Biochemistry II,BIOC,300B,General Biochemistry II
BIOC401 - Gene Expression in Eukaryotes,BIOC,401,Gene Expression in Eukaryotes
BIOC403 - Biochemistry of Signal Transduction,BIOC,403,Biochemistry of Signal Transduction
BIOC404 - Proteins,BIOC,404,Proteins
BIOC408 - Epigenetic Regulation of Chromatin,BIOC,408,Epigenetic Regulation of Chromatin
BIOC409 - Proteomics and Metabolomics,BIOC,409,Proteomics and Metabolomics
BIOC470 - Directed Studies in Biochemistry,BIOC,470,Directed Studies in Biochemistry
BCMB298 - Research Experience,BCMB,298,Research Experience
BCMB301A - Lab Techniques & Projects I,BCMB,301A,Lab Techniques & Projects I
BCMB301B - Lab Techniques & Projects II,BCMB,301B,Lab Techniques & Projects II
BCMB398 - Research Experience,BCMB,398,Research Experience
BCMB406A - Applied Research Laboratory Techniques I,BCMB,406A,Applied Research Laboratory Techniques I
BCMB406B - Applied Research Laboratory Techniques II,BCMB,406B,Applied Research Laboratory Techniques II
BCMB489 - Special Topics in Biochemistry or Microbiology,BCMB,489,Special Topics in Biochemistry or Microbiology
